Material;Descrição;Status;PP_TIPO_SACO_COLADO;PP_ALTURA_UTIL;PP_FACE;PP_PATCH;PP_FUNDO;PP_FUNDO_INF;PP_VALVULA;PP_PERFURADO_TUBEIRA;PP_PERFURADO_COLADEIRA;PP_FUROS_COLADEIRA;PP_DIAMETRO_FUROS_COLADEI;PP_NUMERO_FOLHAS;PP_PAPEL_EXTERNO;PP_GRAMATURA_EXTERNO;PP_PAPEL_2;PP_GRAMATURA_2;PP_PAPEL_3;PP_GRAMATURA_3;PP_PAPEL_4;PP_GRAMATURA_4;PP_PAPEL_5;PP_GRAMATURA_5;PP_PAPEL_INTERNO;PP_GRAMATURA_INTERNO;PP_TIP_PERF_FOL_EXT;PP_TIP_PERF_FOL_2;PP_TIP_PERF_FOL_3;PP_TIP_PERF_FOL_4;PP_TIP_PERF_FOL_5;PP_TIP_PERF_FOL_INT;PP_LARGURA_PEAD;PP_PERMEANCIA
799192;COLVA 104x75 HOL APAS COMEM 50KG MP TST;L;COLVA;590;510;X;125;125;125;S;N;;;2;SAK;90;;;;;;;;;SAK;90;NÃO PERFURAR;;;;;NANO PERF TOT;;95
797734;COLME 102x73 300000747 Cargill 172NSC TS;L;COLME;560;500;T;140;140;140;N;N;;;2;SBK;83;;;;;;;;;SAK;86;;;;;;;;95
764541;COLME 112x76 ALMIDON 25KG;C;COLME;560;550;C;160;180;160;S;N;;;2;SAK;86;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
784167;COLVA 100X74 TITAN ECOPERANDO UG;L;COLVA;605;490;N;105;105;105;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
790313;COLVA 104X74 HOLCIM HERCULES 50KG YOCS;L;COLVA;600;510;N;115;115;115;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
785942;COLME 109x78 SEM IMPRESSÃO 80953535;L;COLME;605;535;C;140;140;140;N;N;;;2;SAK;70;;;;;;;;;SAK;70;;;;;;;;90
790317;COLVA  105X74 HOLCIM HERCULES 50KG PV;L;COLVA;600;515;N;115;115;115;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
796315;COLME 110X80 INGREDION SUREBOND 55610;L;COLME;630;540;X;140;140;140;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
800119;COLVA 108X76 HOLCIM CAH40 CAMPANA 50kg;L;COLVA;610;530;N;120;120;120;S;S;84;1.00;2;SAK;90;;;;;;;;;SAK;90;NANO PERF TOT;;;;;NANO PERF TOT;;90
798260;COLVA 104X74 HOLCIM HERCULES 90A YOCS;L;COLVA;600;510;N;115;115;115;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
825927;COLME 112x76 ALMIDON 25KG;L;COLME;560;550;C;160;180;160;S;N;;;2;SAK;86;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
791932;COLME 114X82 HAVER VERMELHA 25KG 134146;L;COLME;630;560;C;150;150;150;S;N;;;2;SAK;86;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
800121;COLVA 108X76 HOLCIM DISENSA CAMPANA 50kg;L;COLVA;610;530;N;120;120;120;S;S;84;1.00;2;SAK;90;;;;;;;;;SAK;90;NANO PERF TOT;;;;;NANO PERF TOT;;90
799063;COLVA 105X74 HOLCIM HERCULES 90A PV;L;COLVA;600;515;N;115;115;115;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
795989;COLVA 86x63  CEM IP HS 25KG TESTE;L;COLVA;470;420;X;120;120;120;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;NANO PERF TOT;;90
797546;COLME 109X82 AM11 PARDA HAVER 129643;L;COLME;630;535;C;150;150;150;S;N;;;2;SAK;86;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
796293;COLME 109X80 INGREDION FLUIDEX 50610;L;COLME;620;530;X;140;140;140;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
802835;COLME 109X82 DURA MILL 25kg HAVER;L;COLME;630;535;C;150;150;150;S;N;;;2;SAK;86;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
794461;COLVA 104X74 HOLCIM CPF40 YOCS SEM IMP;L;COLVA;600;510;N;115;115;115;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;NANO PERF TOT;;90
799066;COLME 109X80 INGREDION FLUIDEX 50310;L;COLME;620;530;X;140;140;140;S;N;;;2;SAK;85;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
793266;COLME 111X81  AM 10 25KG HAVER 32118;L;COLME;625;540;C;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
737952;COLMI 114x82 2789 02 PVC RES ORANGE;L;COLMI;637;560;C;140;140;140;N;N;;;2;SAK;70;;;;;;;;;SAK;70;;;;;;;;85
789146;COLVA 89X65 WEBER ADHESIVO YESO;L;COLVA;495;435;X;120;120;120;S;N;;;2;SBK;83;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;NANO PERF TOT;;80
790582;COLVA 102x76 MULTI PROPOSITO IP 42,5 TST;C;COLVA;620;500;N;110;110;110;S;N;;;2;SAK;90;;;;;;;;;SAK;90;NANO PERF TOT;;;;;NANO PERF TOT;;80
790062;COLMI  80x60 HOMECRETE CONCR 970200 TST;L;COLMI;440;390;X;110;110;110;S;S;32;1.00;2;SBK;83;;;;;;;;;SAK;90;NÃO PERFURAR;;;;;MIC PERF TOTAL;;80
790065;COLMI  80x60 RAPID POST 970605 TST;L;COLMI;440;390;X;110;110;110;S;S;32;1.00;2;SBK;83;;;;;;;;;SAK;90;NÃO PERFURAR;;;;;MIC PERF TOTAL;;80
767349;COLME 109x79  700360K TATE & LYLE TST;L;COLME;610;535;T;140;140;140;S;N;;;3;SAK;86;PAF;10;;;;;;;SAK;86;NÃO PERFURAR;MIC PERF TOTAL;;;;MIC PERF TOTAL;1080;80
768975;COLMI  80x60 970100 SAKRETE CONCRETE;L;COLMI;440;390;X;110;110;110;S;S;32;1.00;2;SBK;83;;;;;;;;;SAK;85;NÃO PERFURAR;;;;;MIC PERF TOTAL;;80
712327;COLMI 101x74 700899;L;COLMI;570;495;C;130;130;130;S;N;;;2;SAK;76;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;80
793299;COLVA 106x78 MULTI PROP IP50 50kg TST;L;COLVA;640;520;N;115;115;115;S;N;;;2;SAK;90;;;;;;;;;SAK;90;NÃO PERFURAR;;;;;NANO PERF TOT;;80
795141;COLVA 94X63 AVELLANEDA CAL HIDR CHICA;L;COLVA;480;460;N;125;125;125;S;S;88;1.00;2;SAK;85;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;80
792765;COLVA 92X66 AVELLANEDA CAL HID GRANDE;L;COLVA;505;445;N;125;125;125;S;S;84;1.00;2;SAK;85;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;80
805624;COLME 104x82 CARBON BLACK C182 386E TST;L;COLME;610;510;C;170;170;140;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;80
799673;COLVA 99X73 PREMIUM PLUS 42,5kg;L;COLVA;590;485;X;100;100;100;S;S;92;1.00;3;SAK;75;SAK;75;;;;;;;SAK;75;NÃO PERFURAR;NANO PERF TOT;;;;NANO PERF TOT;;80
795493;COLVA 99X73 PREMIUM PLUS TESTE;C;COLVA;590;485;X;100;100;100;S;S;92;1.00;3;SAK;75;SAK;75;;;;;;;SAK;75;NÃO PERFURAR;NANO PERF TOT;;;;NANO PERF TOT;;80
806207;COLVA 99X73 ECO CEMENT 42,5kg;L;COLVA;590;485;X;100;100;100;S;S;92;1.00;3;SAK;75;SAK;75;;;;;;;SAK;75;NÃO PERFURAR;NANO PERF TOT;;;;NANO PERF TOT;;80
793305;COLVA 106x78  HE IP40 50kg TESTE;L;COLVA;640;520;N;115;115;115;S;N;;;2;SAK;90;;;;;;;;;SAK;90;NÃO PERFURAR;;;;;NANO PERF TOT;;80
823909;COLMI 111x80 2789 PVC RESIN BLUE TST;L;COLMI;612;545;C;140;140;140;N;N;;;2;SAK;70;;;;;;;;;SAK;70;;;;;;;;77
796920;COLVA 100X73 CEMENT PLUS 3 FLS;L;COLVA;590;485;X;100;100;100;S;N;;;3;SAK;75;SAK;75;;;;;;;SAK;75;NÃO PERFURAR;NANO PERF TOT;;;;NANO PERF TOT;;75
788987;COLMI 104X76 FLORENCIA CBA REAL 25KG;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SKP;80;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788846;COLMI 104X76 FLORENCIA CBA SEL 3 0 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SAK;85;;;;;;;;;SAK;70;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788853;COLMI 104X76 FLORENCIA CBA SEL 4 0 25K;L;COLMI;585;510;N;150;150;150;S;N;;;2;SAK;85;;;;;;;;;SAK;70;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
789152;COLMI 104X76  AMIPACK NAT TST;L;COLMI;585;510;N;150;150;150;S;N;;;2;SAK;85;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788598;COLMI 104X76 FLORENCIA CBA MUL EXP 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SAK;85;;;;;;;;;SAK;70;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
789144;COLMI 104X76 AMIPACK BCO TST;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788848;COLMI 104X76 FLORENCIA CBA SEL 4 0 25K B;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SKP;80;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788854;COLMI 104X76 FLORENCIA CBA MUL 3 0 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SAK;85;;;;;;;;;SAK;70;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788601;COLMI 104X76 FLORENCIA CBA SEL REAL 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;75;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788979;COLMI  101X76 FLORENCIA REAL 25KG;L;COLMI;580;495;N;150;150;150;S;S;68;1.00;2;SBK;73;;;;;;;;;SAK;70;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
788842;COLMI 104X76 FLORENCIA CBA PAN 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;75;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
790750;COLMI 104X76 FLORENCIA CBA SEL BLN 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;75;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
790752;COLMI 104X76 FLORENCIA CBA SEL TERM 25KG;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;75;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
790754;COLMI 104X76 FLORENCIA CBA ACOND 25kg;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SAK;75;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
769115;COLMI 104X76 FLORENCIA CBA MUL 3/0 25K T;L;COLMI;585;510;N;150;150;150;S;N;;;2;SKP;80;;;;;;;;;SKP;80;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
795533;COLMI 104X76 FLORENCIA CBA SEMOLIN 25KG;L;COLMI;585;510;N;150;150;150;S;N;;;2;SBK;83;;;;;;;;;SKP;80;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
795538;COLMI 104X76 FLORENCIA CBA MUL 4/0 25KG;L;COLMI;585;510;N;150;150;150;S;N;;;2;SKP;80;;;;;;;;;SKP;80;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;74
583440;COLMI 85x63 RM010000189 CODE 35;L;COLMI;495;405;C;105;95;105;S;N;;;2;SAK;85;;;;;;;;;SAK;85;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;70
